cs1,cs2,cs3,n_images,agree_all_frac_mean,agree12_frac_mean,agree13_frac_mean,agree23_frac_mean,miou1_imgmean,miou2_imgmean,miou3_imgmean,miouE_imgmean,miou1_dataset,miou2_dataset,miou3_dataset,miouE_dataset,best_single_dataset,ensemble_gain_over_best_single
cielab,jzazbz,jzczhz,10,0.8788341845113286,0.947718662042884,0.8983047276893142,0.9100334886716965,7.573457329032071,7.943999943381203,7.6139420129962785,7.942564553136705,32.833098980563705,35.48254059634142,32.057920716895914,35.25439222987747,35.48254059634142,-0.2281483664639552
ictcp_pq,oklab,oklch,10,0.8094172597567031,0.8949742503955356,0.8397021995254036,0.8821503410495527,7.286426627201346,7.828507696346305,7.8159916984152575,7.94897424693981,32.70964465056424,35.39255811487449,32.661160784563286,35.252091590706335,35.39255811487449,-0.1404665241681542
c02,srgb_linear,ycbcr_bt709,10,0.8705881351181995,0.8833168196272556,0.9247020904423741,0.9320252787296435,7.796517775252461,7.496828610605661,7.830464716896323,8.03259012067439,33.77989990197807,31.15979519695565,34.730908314849835,35.239548902165815,34.730908314849835,0.5086405873159805
c02,oklab,ycbcr_bt709,10,0.9104692124172262,0.940216882760239,0.9247020904423741,0.9560140624102825,7.796517775252461,7.828507696346305,7.830464716896323,7.89904452715316,33.77989990197807,35.39255811487449,34.730908314849835,35.22081812277481,35.39255811487449,-0.17173999209968116
c02,jzazbz,rgb,10,0.9053038707920532,0.9280247114809924,0.9414640847428759,0.9400443106296992,7.796517775252461,7.943999943381203,7.673425436314167,7.913349134746717,33.77989990197807,35.48254059634142,32.72496099337972,35.21136536128452,35.48254059634142,-0.27117523505690144
jzazbz,jzczhz,xyz,10,0.7827571025401042,0.9100334886716965,0.823468652129832,0.828598392422393,7.943999943381203,7.6139420129962785,6.646894189985868,7.975423757423106,35.48254059634142,32.057920716895914,26.761019442700896,35.19629428257757,35.48254059634142,-0.28624631376385423
oklab,rgb,ycbcr_bt709,10,0.9144438405266415,0.938205366135797,0.9560140624102825,0.934327573864489,7.828507696346305,7.673425436314167,7.830464716896323,7.884320052977259,35.39255811487449,32.72496099337972,34.730908314849835,35.19182971179659,35.39255811487449,-0.2007284030778962
c02,ictcp_pq,jzazbz,10,0.8610228945931805,0.8826958123373826,0.9280247114809924,0.9107417779428364,7.796517775252461,7.286426627201346,7.943999943381203,7.8388269136329285,33.77989990197807,32.70964465056424,35.48254059634142,35.191749796157154,35.48254059634142,-0.2907908001842685
c16,oklab,ycbcr_bt709,10,0.9124854266023791,0.9387300436517169,0.9301968070229979,0.9560140624102825,7.832689776667282,7.828507696346305,7.830464716896323,7.918639682244707,33.256139919264164,35.39255811487449,34.730908314849835,35.12926668517736,35.39255811487449,-0.2632914296971265
jzczhz,oklab,srgb_linear,10,0.8354721323004786,0.8990338981361082,0.8640594007659332,0.9067578798705721,7.6139420129962785,7.828507696346305,7.496828610605661,8.047115348111427,32.057920716895914,35.39255811487449,31.15979519695565,35.1047213390207,35.39255811487449,-0.2878367758537905
